date|time|description|vendor|amount
2026-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2025-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2026-04-16|09:05:12|monthly rent payment|Landlord|-1200.00
2026-04-17|14:22:45|grocery shopping|Walmart|-134.75
2025-04-18|08:30:00|Invoice 1002 paid|Sarah|750.00
2025-04-19|13:45:30|electric bill|Georgia Power|-98.20
2026-04-20|10:00:00|freelance payment received|Mike|500.00
2026-04-21|16:10:55|gas station|Shell|-45.00
2026-04-22|11:30:00|Invoice 1003 paid|David|1250.00
2026-03-23|09:15:40|internet bill|Comcast|150.00
2026-04-28|22:13:01|camera|amazon|
