date|time|description|vendor|amount
2022-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2024-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|09:05:12|monthly rent payment|Landlord|-1200.00
2023-04-17|14:22:45|grocery shopping|Walmart|-134.75
2023-04-18|08:30:00|Invoice 1002 paid|Sarah|750.00
2023-04-19|13:45:30|electric bill|Georgia Power|-98.20
2025-04-20|10:00:00|freelance payment received|Mike|500.00
2025-04-21|16:10:55|gas station|Shell|-45.00
2023-04-22|11:30:00|Invoice 1003 paid|David|1250.00
2023-04-23|09:15:40|internet bill|Comcast|-79.99
2026-04-30|18:41:07|amazon|amazon|111.00
2026-04-30|19:45:59|rent|landlord|1100.00
2026-04-30|20:46:14|Direct Deposit|My Employer|1500.00
2026-04-30|20:46:44|Invoice|Ga Power|300.00
2026-04-30|21:16:13|direct deposit|Employer|2500.00
2026-04-30|21:16:58|Wifi|ATT&T|-80.00
2026-04-30|22:36:44|Direct Deposit|Employer|2000.00
2026-04-30|22:37:08|Bill|Ga power|-200.00
2026-04-30|23:49:07|cash|doordash tips|100.00
